	CTR19A_CD140a	CTR19B_CD140a	CTR19C_CD140a	CTR19F_CD140a	HD20C_CD140a	HD20D_CD140a	HD20E_CD140a	HD20F_CD140a	HD20G_CD140a
ENSG00000000003	64.83	38.54	39.65	46.17	42.01	36.12	52.15	58.77	36.74
ENSG00000000005	0.26	1.18	0	1.08	0.21	0	0.44	0.06	0.1
ENSG00000000419	57.76	48.29	50.19	41.97	43.84	52.19	59.57	49.6	56.4
ENSG00000000457	10.63	10.45	7.54	9.56	8.21	9.38	12.65	7.22	11.66
ENSG00000000460	13.09	17.84	13.54	14.13	11.53	13.55	18.49	11.55	15.09
ENSG00000000938	0	0.39	0	0.03	0	0.23	0	0	0.06
ENSG00000000971	0	1.33	0.41	1.88	0.38	0.33	0.81	0	0.06
ENSG00000001036	21.12	28.67	30.45	17.48	28.23	15.45	28.81	29.69	21.61
ENSG00000001084	25.65	16.02	16.78	22.98	9.05	7.49	11.91	10.68	12.68
ENSG00000001167	35.31	20.74	22.61	28.82	34.08	33.34	39.77	49.18	32.36
ENSG00000001460	3.97	4.65	3.95	4	5.79	1.48	2.83	1.78	2.28
ENSG00000001461	11.2	6.85	10.33	15.49	7.68	4.33	8.63	9.86	3.77
ENSG00000001497	45.22	59.9	47.38	55.44	53.41	66.94	49.16	20.9	55.51
ENSG00000001561	4.99	1.3	2.46	5.96	0.71	1	0.73	0.67	0.73
ENSG00000001617	2.12	6.42	2.44	1.55	4.23	3.68	4.76	2.51	3.23
ENSG00000001626	12.58	3.17	2.34	12.02	0	0	0	0.02	0.07
ENSG00000001629	61.74	34.97	41.26	60.99	41.34	43.66	58.93	47.9	49.63
ENSG00000001630	49.44	41.42	39.11	50.81	39.04	24.41	51.82	62.53	26.11
ENSG00000001631	34.07	30.77	31.16	32.33	27.02	30.65	37.48	21.37	39.83
ENSG00000002016	33.27	36.92	28.14	27.48	39.08	33.25	41.21	6.1	41.14
ENSG00000002079	0	0	0.08	0.02	0	0	0.06	0	0.01
ENSG00000002330	52.18	44.24	71.02	41.27	62.58	45.95	40.05	72.35	27.39
ENSG00000002549	42.16	27.15	33.64	36.44	29.03	25.13	38.63	32.65	24.18
ENSG00000002586	250.85	284.02	426.98	137.92	361.05	168.05	307.87	231.19	147.07
ENSG00000002587	0.35	0.33	0.37	0.59	0.24	0	0.04	0.53	0.01
ENSG00000002726	0.12	0	0	0	0	0	0	0	0
ENSG00000002745	0	0.13	0.12	0.1	0	0.19	0.06	0.8	0
ENSG00000002746	5.27	2.12	2.73	5.96	0.71	0.9	0.68	1.59	1.77
ENSG00000002822	22.54	21.74	23.77	21.23	34.45	22.63	24.66	24.08	14.03
ENSG00000002834	68.73	68.29	79.57	53.3	74.54	72.02	92.43	115.01	57.37
ENSG00000002919	23.3	17.29	18.37	17.86	24.32	22.43	23.29	22.17	20.2
ENSG00000002933	1.11	0.49	1	2.34	0.36	0.6	0.44	0.48	0.73
ENSG00000003056	120.99	98.46	103.64	108.81	109.57	114.95	124.84	88.29	122.14
ENSG00000003096	24.21	15.71	12.77	23.51	5.94	3.89	6.95	11.63	3.76
ENSG00000003137	0.28	1.13	0.48	0.6	0.1	0	0.31	0.39	0.33
ENSG00000003147	9.68	5.82	3.72	7.38	0.1	0.9	1.75	0.5	0.28
ENSG00000003249	26.47	21.96	26.36	26.46	40.61	40.12	30.84	48.98	25.77
ENSG00000003393	23.66	16.86	21.99	25.29	21.06	25.87	29.37	23.06	25.67
ENSG00000003400	0	0.4	0.03	0.05	0	0.04	0.59	0.02	0.35
ENSG00000003402	10.64	10.53	15.85	8.74	15.84	9.98	22.42	14.29	10.66
ENSG00000003436	17.81	7.41	14.63	16.68	13.66	6.7	26.79	22.07	7.41
ENSG00000003509	32.27	41.94	30.37	34.47	28.94	32.03	37.26	11.3	47
ENSG00000003756	353.09	371.4	300.62	333.5	405.96	480.09	427.65	77.58	510.32
ENSG00000003987	6.1	4.18	1.54	5.35	3.1	4.62	2.43	2.61	5.33
ENSG00000003989	0.68	0.81	0.59	1.01	0.36	0.14	0.36	1.18	0.33
ENSG00000004059	155.94	138.38	165.39	121.66	161.93	146.09	141.25	179.33	128.74
ENSG00000004139	34.39	32.1	27.69	34.24	34.08	42.39	42.5	43.33	37.1
ENSG00000004142	63.36	54.83	56.93	58.01	73.54	73.73	74.11	88.83	59.57
ENSG00000004399	20.32	37.61	61.89	22.97	58.52	39.69	45.3	25.4	21.9
ENSG00000004455	114.24	92.48	91.89	69.71	86.73	87.02	90.54	83.16	89.06
ENSG00000004468	5.31	4.99	2.9	6.91	1.91	6.34	12.98	2.65	6.26
ENSG00000004478	65.61	56.42	43.24	51.35	59.77	54.94	60.92	74.98	47.3
ENSG00000004487	182.11	136.33	127.53	135.32	194.39	226.87	223.44	236.77	234.96
ENSG00000004534	218	326.81	223.97	209.22	304.14	327.36	299.72	52.06	361.46
ENSG00000004660	4.72	6.1	5.75	4.59	5.1	6.69	4.87	3.18	4.91
ENSG00000004700	23.52	22.63	31.7	23.7	27.32	24.47	32.88	25.94	33.04
ENSG00000004766	30.47	15.72	13.13	23.14	20.68	20.44	28.82	21.52	27.88
ENSG00000004776	0.14	1.33	0.41	0.57	0.37	1.19	1.77	1.74	0.52
ENSG00000004777	88.67	119.02	77.47	94.35	164.71	184.55	123.1	86.75	93.6
ENSG00000004779	113.15	99.74	100.3	90.51	97.01	77.19	81.98	117.36	93.11
ENSG00000004799	0.4	0.34	0.44	0.93	1.39	0.8	0.79	1.2	0.83
ENSG00000004809	0	0.21	0	0.12	0	0	0	0	0
ENSG00000004838	11.43	11.94	10.82	13.65	8.52	4.76	9.63	4.7	3.01
ENSG00000004846	0	0	0	0.01	0.12	0.07	0	0.03	0.16
ENSG00000004848	35.6	76.09	92.13	30.04	141.51	162.23	120.79	143.85	152.29
ENSG00000004864	30.1	24.21	23.91	20.08	26.36	26.6	35.8	34.32	31.52
ENSG00000004866	38.74	22.24	23.11	35.06	22.71	34.76	36.1	42.63	39.97
ENSG00000004897	59.07	42.26	49.33	63.11	54.75	57.81	62.95	64.18	65.54
ENSG00000004939	0.09	0.03	0	0.14	0	0	0	0	0.01
ENSG00000004948	0	0	0	0	0.19	0	0	0.03	0.2
ENSG00000004961	18.16	19.01	25.87	15.14	12.56	9.49	13.68	17.13	10.65
ENSG00000004975	47.53	45.1	45.65	41.67	48.36	54.7	59.98	47.54	34.95
ENSG00000005001	0	0	0	0	0	0	0	0	0
ENSG00000005007	45.56	37.49	37.48	43.43	41.19	42.31	49.49	46.4	27.89
ENSG00000005020	25.75	3.33	4.9	11.09	1.48	0.45	1.61	1.44	0.59
ENSG00000005022	240.7	206.67	221.38	282.17	226.09	236.2	271.07	416.23	205.12
ENSG00000005059	33.77	47.98	56.05	23.26	99.56	125.7	112.72	93.3	159.74
ENSG00000005073	0.39	0	0	0.17	0	0	0	0.02	0
ENSG00000005075	51.76	45.86	55.06	36.94	53.06	48.24	49.1	54.46	30.34
ENSG00000005100	19.34	16.49	12.68	15.88	15.42	20.87	17.91	15.34	20.77
ENSG00000005102	0.04	0	0.06	0.05	0	0	0	0.02	0.13
ENSG00000005108	13.91	2.63	5.53	7.97	1.15	1.45	1.15	3.39	1.24
ENSG00000005156	41.23	26.18	19.59	30.29	36.38	39.52	42.64	44.06	46.92
ENSG00000005175	32.72	23.2	28.32	24.45	26.62	27.99	32.39	30.8	27.77
ENSG00000005187	4.14	5.47	3.89	2.15	4.1	4.67	3.43	1.86	5.18
ENSG00000005189	14.09	13.1	8.44	27.81	18.04	22.61	23.46	19.17	24.44
ENSG00000005194	93.21	73.84	62.85	73.22	83.06	78.45	84.2	90.15	92.08
ENSG00000005206	81.94	110.95	76.89	60.14	140.47	153.27	87.57	21.81	81.91
ENSG00000005238	18.78	23.82	20.87	19.51	24.02	26.01	30.21	19.57	26.85
ENSG00000005243	3.39	7.42	14.36	8.66	5.4	5.38	6.88	2.53	2.17
ENSG00000005249	16.53	11.63	12.12	12.69	13.26	16.48	12.52	24.97	17
ENSG00000005302	49.46	54.19	45.44	33.32	24.65	40.37	38.54	25.25	45.14
ENSG00000005339	58.65	31.12	36.03	58.16	44.65	51.33	65.55	55.42	47.26
ENSG00000005379	41.88	46.68	29.43	59.25	48.08	50.23	32.72	6.37	45.99
ENSG00000005381	0	0.13	0	0	0	0	0	0	0
ENSG00000005421	0.66	0	0.82	0.1	0	0.32	0.04	0	0.33
ENSG00000005436	17.23	17.96	18.76	20.36	7.61	7.62	4.3	5.6	8.4
ENSG00000005448	43.32	56.65	38.66	45.24	48.91	48.01	32.27	42.11	42.69
ENSG00000005469	24.32	23.56	21.74	27.87	26.83	24.78	44.99	18.65	31.89
ENSG00000005471	0.22	0.26	0.34	1.1	0.91	0.04	0.53	0.68	0.13
ENSG00000005483	91.21	36.7	42.86	78.66	61.58	75.15	84.48	67.61	87.58
ENSG00000005486	91.28	77.35	81.39	75.86	80.66	70.62	87.44	92.41	61.13
ENSG00000005513	143.59	41.51	31.31	94.14	51.21	73.31	48.42	65.7	53.11
ENSG00000005700	37.5	27.85	30.21	40.09	30.65	39.5	36.63	30.37	43.27
ENSG00000005801	55.48	62.63	46.04	55.33	60.12	84.16	58.06	40.22	113.18
ENSG00000005810	59.3	45.96	37.54	66.05	38.52	51.27	56.65	39.19	56.26
ENSG00000005812	29.68	20.3	24.84	31.15	31.42	36.65	43.44	42.08	46.9
ENSG00000005844	0.3	0.03	0	0.1	0.39	0	0	0	0.13
ENSG00000005882	43.65	34.23	38.37	41.32	35.98	31.76	52.57	48.5	26.31
ENSG00000005884	28.12	55.75	83.82	29.99	55.55	8.22	58.98	12.59	5.99
ENSG00000005889	22.41	21.7	23.11	23.93	31.38	26.32	30.37	24.28	31.14
ENSG00000005893	92.32	60.69	78.2	74.69	88.77	61.71	161.73	110.88	66.72
ENSG00000005961	2.15	8.99	3.19	4.33	3.77	2.72	3.05	0.86	2.6
ENSG00000005981	0.14	0.4	2.28	0.34	0.1	0	0	0.02	0.12
ENSG00000006007	56.03	38.58	50.66	45.86	40.44	31.64	50.3	53.89	31.88
ENSG00000006015	32.78	27.7	22.78	13.85	27.16	27.31	12.67	14.24	12.43
ENSG00000006016	6.55	5.79	4.2	8.46	7.52	8.15	7.21	4.84	7.98
ENSG00000006025	19.31	18.6	17.25	19.56	18.89	20.07	15.9	3.53	16.23
ENSG00000006042	76.41	84.84	103.09	52.03	147.41	132.08	147.95	185.94	125.08
ENSG00000006047	1.1	3.17	0.42	0.82	1.9	2.46	2.39	0.77	1.01
ENSG00000006059	0	0	0	0	0	0	0	0	0
ENSG00000006062	8.51	11.34	9.78	9.25	13.55	19.05	14.01	4	14.47
ENSG00000006071	9.25	17.14	6.38	8.23	4.44	7.71	5.58	1.2	5.37
ENSG00000006116	0	0	0	0.03	0	0	0	0	0
ENSG00000006118	63.65	113.11	113.79	39.01	126.43	77.03	122.87	62.75	44.4
ENSG00000006125	166.99	80.82	101.6	161.37	94.47	81.11	133.85	181.47	77.9
ENSG00000006128	0.48	3.51	0.51	0.87	0.54	0.57	0.11	0.35	0.28
ENSG00000006194	32.36	35.65	29.01	30.72	37.64	43.68	36.88	30.48	41.95
ENSG00000006210	16.25	15.03	11.58	15.77	9.38	3.96	11.81	5.09	2.67
ENSG00000006282	12.25	21.84	26.11	14.25	27.88	26.41	29.85	10.07	22.69
ENSG00000006283	3.27	1.74	0.62	3.56	0.9	1.07	1.17	1.16	0.9
ENSG00000006327	28.22	66.6	101.17	18.55	58.23	5.31	27.46	11.34	5.76
ENSG00000006377	18.3	37.21	44.59	15.92	86.41	115.21	64.47	51.22	137.48
ENSG00000006432	3.76	2.07	2.63	3.4	3.66	3.45	2.55	3.27	3.21
ENSG00000006451	54.48	29.55	39.76	50.14	36.1	46.59	46.38	65.35	36.55
ENSG00000006453	1.48	0.47	1.76	1.99	2.52	2.22	1.64	1.73	2.26
ENSG00000006459	15.66	7.72	8.7	11.06	8.83	12.82	14.12	10.94	13.51
ENSG00000006468	425.29	70.41	92.07	169	48.58	50.08	62.86	97.82	56.06
ENSG00000006530	32.53	28.61	29.88	31.33	27.27	33.41	33.3	22.83	37.72
ENSG00000006534	1.53	3.78	3.46	1.71	3.23	1.68	2.32	1.11	0.78
ENSG00000006555	0	0	0.06	0	0	0	0	0	0
ENSG00000006576	26.92	24.32	18.86	27.87	24.81	32.09	31.33	25.64	41.55
ENSG00000006606	0	0	0	0	0	0	0	0	0
ENSG00000006607	48.27	27.57	23.83	44.58	36.1	40.41	38.03	34.7	34.75
ENSG00000006611	0	0	0	0.05	0.15	0	0.34	0.13	0.11
ENSG00000006625	48.81	48.06	52.52	42.67	56.32	57.44	43.09	49.07	64.08
ENSG00000006634	31.03	36.34	30.23	27.88	51.63	56.35	51.36	63.7	79.49
ENSG00000006638	0.42	0.45	0.08	0.31	0.79	1.25	1.37	0.58	1.22
ENSG00000006652	66.73	45.88	49.47	50.5	53.7	40.72	57.05	20.72	60.42
ENSG00000006659	0	0	0	0	0	0	0	0	0
ENSG00000006695	7.83	5.47	5.27	7.74	7.5	5.52	6.7	8.8	5.3
ENSG00000006704	37.14	61.25	49.21	43.37	76.97	63.99	63.51	44.68	86.85
ENSG00000006712	69.47	71.25	66.26	60.07	62.73	62.95	69.51	56.56	48.93
ENSG00000006715	94.58	43.8	50.92	88.78	55.87	56.97	75.86	54.03	65.79
ENSG00000006740	0.78	0.96	0.9	1.7	0.5	1.15	0.32	0.99	1.02
ENSG00000006744	53.06	46.11	49.57	50.24	72.23	75.8	78.03	46.62	63.82
ENSG00000006747	0.05	0	0.01	0.09	0.48	0	0.23	0	0
ENSG00000006756	9.21	16.04	14.78	8.46	17.68	19.3	20.25	12.56	19.59
ENSG00000006757	3.44	2.67	7.13	5.78	1.31	0.62	1.35	1.41	0.29
ENSG00000006788	0.02	0	0	0.01	0.02	0.03	0	0.01	0.01
ENSG00000006831	33.01	34.66	31.91	31.39	33.59	35.98	48.04	51.08	40.54
ENSG00000006837	9.56	6.9	4.43	10.6	6.13	7.46	6.4	3.4	8.49
ENSG00000007001	0	0	0.06	0.19	0	0	0	0.03	0.1
ENSG00000007038	0	0	0	0	0	0	0	0	0
ENSG00000007047	50.89	23.65	29.45	36.37	47.15	59.08	40.86	56.24	34.03
ENSG00000007062	43.18	76.85	110.91	39.7	88.53	38.46	29.87	24.08	41.48
ENSG00000007080	87.66	78.41	87.96	39.13	88.01	67.03	48.17	77.88	29.04
ENSG00000007129	0	0	0	0	0	0	0	0	0
ENSG00000007168	236.74	133.01	133.31	213.4	172.72	186.84	204.09	203.58	220.16
ENSG00000007171	0	0.08	0	0	0	0.11	0.03	0.07	0.01
ENSG00000007174	10.05	2.14	2.86	4.19	2.9	2.56	5.17	2.11	1.07
ENSG00000007202	84.03	64.72	60.87	77.32	84.61	86.24	109.2	85.92	93.61
ENSG00000007216	0	0.11	0	0.08	0	0	0	0.02	0
ENSG00000007237	3.63	15.04	12.66	6.37	12	5.24	9.14	16.18	5.07
ENSG00000007255	15.29	19.35	16.59	12.52	17.33	24.39	14.05	19.55	8.63
ENSG00000007264	0.85	0.15	1.14	1.07	0.29	0	0	0.22	0
ENSG00000007306	0	0	0	0	0	0	0	0	0
ENSG00000007312	0	0	0	0	0	0	0	0	0
ENSG00000007314	0	0.55	0	0.02	0	0	0.01	0	0
ENSG00000007341	18.32	18.5	19.83	19.62	19.69	20.46	21.84	16.47	24.29
ENSG00000007350	1.41	5.34	1.25	1.16	2.69	0.75	3.85	3.89	2.18
ENSG00000007372	32.25	53.54	53.12	18.89	84.4	95.3	100.16	61.49	87.97
ENSG00000007376	18.59	20.14	14.1	9.55	19.36	15.49	14.18	12.95	11.71
ENSG00000007384	31.13	25.52	30.58	33.48	17.56	8.79	15.38	2.13	6.53
ENSG00000007392	237.71	319.45	211	252.75	293.33	348.54	222.34	28.13	368.83
ENSG00000007402	4.76	1.55	1.5	5	1.8	2.42	1.38	1.11	0.97
ENSG00000007516	21.93	6.32	2.95	11.56	5.96	4.59	10.87	2.27	3.73
ENSG00000007520	54.77	52.74	59.11	28.51	57.29	44.87	41.35	57.6	30.95
ENSG00000007541	48.3	74.73	52.08	38.33	60.92	55.04	52.19	22.12	28.59
ENSG00000007545	28.86	30.64	22.63	23.16	38.57	40.9	35.96	18.17	31.45
ENSG00000007866	12.58	28.39	29.07	7.61	37.39	31.24	31.66	15.95	23.11
ENSG00000007908	0	0	0	0	0	0.04	0	0	0
ENSG00000007923	47.04	43.28	39.13	47.23	49.08	52.1	56.75	43.82	50.43
ENSG00000007933	0	0.21	0.06	0.46	0	0	0	0	0
ENSG00000007944	4.14	4.28	5.67	5.55	2.54	0.71	0.99	0.77	0.94
ENSG00000007952	0.09	0.11	0.1	0.13	0.06	0.38	0.48	0.13	0.14
ENSG00000007968	6.8	13.83	10.79	8.49	19.32	24.33	17.72	19.73	20.34
ENSG00000008018	154.33	148.58	168.43	132.92	153.93	143.94	180.82	212.42	136.16
ENSG00000008056	16.7	8.42	3.47	17.58	5.38	7.29	5.17	9.71	8.58
ENSG00000008083	20.82	13.03	12.48	18.87	12.2	14.91	14.66	14.66	15.66
ENSG00000008086	10.72	9.86	10.65	6.89	5.5	5.87	6.17	7.56	6.16
ENSG00000008118	0.09	0.27	0.05	0.08	0.19	0.06	0	0.4	0
ENSG00000008128	46.62	86.71	67.74	38.01	93.02	86.7	59.89	12.5	70.6
ENSG00000008130	65.51	62.28	59.92	50.99	74.51	66.67	75.18	42.06	51.42
ENSG00000008196	0.02	1.35	0.54	0.11	0.05	0.03	0.29	0.05	0.04
ENSG00000008197	0	0	0	0	0	0	0	0	0
ENSG00000008226	1.35	2.72	1.88	2.49	1.52	1.28	0.82	0.25	1.11
ENSG00000008256	21.58	23.6	23.43	17.63	21.79	20.31	20.64	20.99	16.41
ENSG00000008277	21.86	10.15	8.89	26.54	7.28	15.19	13.48	14.96	18.64
ENSG00000008282	36.82	35.79	47.75	26.63	41.13	29.34	62.94	45.61	33.4
ENSG00000008283	5.47	8.28	11.11	6.95	10.1	4.81	8.37	3.94	2.46
ENSG00000008294	381.89	190.38	194.24	320.2	318.54	424.35	520.2	254.52	523.45
ENSG00000008300	30.75	56.07	24.05	32.52	44.79	76.58	42.46	24.28	68.5
ENSG00000008311	46.74	61.63	44.74	34.07	69.18	71.14	82.22	31.08	86.04
ENSG00000008323	0.08	0.62	0.37	0.19	0	0	0	0	0.06
ENSG00000008324	25.92	30.48	30.6	31.17	36.72	32.32	27.26	31.08	40.87
ENSG00000008382	20.85	23.61	22.28	20.58	29	27.77	18.11	24.53	17.77
ENSG00000008394	48.09	106.57	59.44	44.82	11.46	4.45	18.94	13.06	6.47
ENSG00000008405	39.87	41.37	43.1	34.71	87.16	48.36	70.64	56.82	57.42
ENSG00000008438	0	1.48	0.75	0.57	0	0.23	0.31	0.12	0.07
ENSG00000008441	78.27	48.28	55.2	93.74	83.79	140.73	146.58	201.41	89.18
ENSG00000008513	1.62	2.3	3.62	3.21	1.98	1.78	2.71	2.99	2.8
ENSG00000008516	0.52	0.31	0.94	1.41	1.1	0.24	0.49	0.07	0.58
ENSG00000008517	3.08	13.39	12.4	2.4	9.78	1.52	4.01	0.65	0.49
ENSG00000008710	83.78	121	111.86	77.97	183.87	249.17	118.83	30.77	113.28
ENSG00000008735	17.01	11.88	8.91	13.5	11.96	15.42	9.08	11.67	9.29
ENSG00000008838	129.62	155.63	118.05	135.6	142.35	196.08	175.97	129.3	150.71
ENSG00000008853	24.86	20.77	11.65	17.41	15.67	14.03	16.78	15.98	9.9
ENSG00000008869	18.94	13.18	13.29	18.93	13.88	22.25	18.92	15.21	22.91
ENSG00000008952	92.52	39.87	58.77	128.07	52.53	60.74	79.61	99.13	90.05
ENSG00000008988	1320.78	1264.94	1406.97	950.97	1219.63	1221.4	1064.82	1682.36	1303.44
ENSG00000009307	403.92	188.57	247.14	311.64	274.17	283.05	359.39	466.85	323.49
ENSG00000009335	42.12	33.75	38.66	39.29	39.65	45.6	46.66	44.21	46.08
ENSG00000009413	67.75	37.41	23.84	59.48	29.39	26.78	36.83	24.69	32.86
ENSG00000009694	7.32	10.75	9.62	7.23	2.6	1.01	1.2	0.37	1.66
ENSG00000009709	0	0.02	0	0	0.02	0	0	0.01	0
ENSG00000009724	5.94	4.96	3.37	7.23	5.62	5.28	5.99	1.17	8.89
ENSG00000009765	0	0	0	0	0	0	0	0	0
ENSG00000009780	8.04	10.51	9.88	7.83	12	10.06	14.19	8.53	16.57
ENSG00000009790	0.14	0.04	0.07	0	0.11	0.18	0	0.15	0.17
ENSG00000009830	42.34	47.93	43.96	45.16	53.45	42.92	56.53	33.1	40.95
ENSG00000009844	62.47	38.25	39.26	53.58	49.27	48.28	64.75	90.65	59.21
ENSG00000009950	0	0	0.55	0.36	0	0.1	0	0.06	0.01
ENSG00000009954	51.16	35.22	42.46	47.73	55.51	64.13	72.83	74.58	62.99
ENSG00000010017	51.74	48.68	49.8	46.89	62.89	65.86	77.27	65.4	71.82
ENSG00000010030	0.09	0.19	0.64	0.23	0.62	0.22	0.51	0.23	0.42
ENSG00000010072	11.82	6.86	10.37	10.88	9.38	13	10.98	14.46	11.32
ENSG00000010165	21.77	15.7	19.79	16.33	19.96	20.42	28.94	24.01	20.33
ENSG00000010219	55.61	48.22	40.01	55.48	37.02	34.4	36.95	29.95	37.78
ENSG00000010244	186.13	110.3	130.39	135.51	160.13	141.56	183.7	156.33	164.42
ENSG00000010256	155.88	191.63	198.44	168.68	209.68	192.26	230.45	282.11	174.82
ENSG00000010270	76.85	47.85	55.15	68.38	68.86	50.61	67.53	87.15	52.9
ENSG00000010278	60.37	78.77	86.54	98.2	105.47	94.25	129.86	148.21	93.96
ENSG00000010282	0.46	1.52	1.08	0.98	0.42	0.68	0.26	0	0.25
ENSG00000010292	67.56	77.49	69.46	62.67	122.55	125.14	147.61	185.14	101.32
ENSG00000010295	21.52	33.59	26.06	22.55	26.15	25.49	21.76	8.28	21.26
ENSG00000010310	6.63	7.67	5.2	10.22	5.49	8.28	6.67	0.21	7.84
ENSG00000010318	5.25	6.4	4.79	9.4	11.69	11.9	10.73	8.7	11.34
ENSG00000010319	0.29	0.03	0.19	0.05	0.11	0	0.28	0.01	0.03
ENSG00000010322	100.39	104.41	89.32	95.36	135.43	108.45	121.03	53.15	98.14
ENSG00000010327	0	0.83	0.08	0.23	0.82	0.27	0.04	0.55	1.62
ENSG00000010361	34.13	34.3	34.25	27.65	40.92	45.31	38.59	41.53	29
ENSG00000010379	0	0.8	0.68	0.98	0.38	2.2	1.09	0.08	0.29
ENSG00000010404	69.55	44.37	56.39	67.12	52.4	38.33	61.98	55.06	35.72
ENSG00000010438	0	0	0.22	0.17	0	0	0	0	0.13
ENSG00000010539	11.61	11.89	9.93	11.93	11.87	14.23	13.29	10.77	18.93
ENSG00000010610	0.96	0.44	0.51	1.01	0.19	0.3	0.45	0.4	0.31
ENSG00000010626	15.81	10.89	10.1	14.23	17.05	13.14	14.33	10.74	12.66
ENSG00000010671	0.36	0	0	0.35	0.05	1.14	0.16	0.17	0.52
ENSG00000010704	0.66	0.85	2.15	1.03	0.26	0	1.52	0.28	0.12
ENSG00000010803	27.97	36.18	33.01	25.01	38.5	37.29	32.39	31.33	34.14
ENSG00000010810	473.39	228.1	244.58	448.94	314.42	283.48	353.26	398.25	251.63
ENSG00000010818	6.63	7.65	11.2	9.4	14.7	11.47	14.29	16.06	12.27
ENSG00000010932	0.03	0	0.06	1.02	0.79	0	0.18	0.37	0.03
ENSG00000011007	28.55	32.98	28.81	26.75	28.89	36.33	46.71	29.34	34.33
ENSG00000011009	35.78	49.46	42.98	32.27	45.18	42.99	36.94	30.84	32.97
ENSG00000011021	30.82	28.32	19.75	26.54	28.97	30.34	35.87	21.33	34.88
ENSG00000011028	87.59	163.42	215.68	48.31	273.06	85.05	144.7	96.77	50.59
ENSG00000011052	87.9	102.68	97.45	86.88	85.63	76.38	74.33	82.78	53.16
ENSG00000011083	0.05	0	0	0	0	0	0	0	0
ENSG00000011105	16.53	17.7	34.41	12.56	25.16	16.67	23.69	18.96	13.13
ENSG00000011114	18.86	11.68	14.4	16.67	16.81	20	21.79	24.76	20.75
ENSG00000011132	15.35	21.15	14.81	12.3	23.15	17.96	14.52	5.49	13.09
ENSG00000011143	29.03	27.06	23.37	26.74	38.55	37.52	37.77	15.64	34.16
ENSG00000011198	16.13	14.67	13.26	19.17	10.07	8.27	14.42	18.57	13.43
ENSG00000011201	25.6	20.77	27.51	33.08	23.96	10.92	55.57	22.46	12.01
ENSG00000011243	199.53	218.39	152.56	173.95	242.02	293.29	225.85	71.13	244.56
ENSG00000011258	41.56	22.65	19.58	32.18	28.79	40.04	36.35	36.14	48.31
ENSG00000011260	48.74	42.19	33.35	47.47	42.39	37.43	51.09	48.75	51.96
ENSG00000011275	29.08	18.77	23.03	28.58	28.63	30.55	33.78	26.83	26.68
ENSG00000011295	57.93	47.26	42.36	52.3	55.93	59.19	54.48	50.79	71.45
ENSG00000011304	147.06	145.98	176.04	112.16	187.01	186.13	192.53	249.01	144.23
ENSG00000011332	36.03	39.63	28.27	34.39	34.63	39.08	31.1	34.33	34.77
ENSG00000011347	3	1.6	1.14	2.25	1.73	1.75	1.63	1.45	0.88
ENSG00000011376	13.66	10.19	11.84	13.91	14.23	12.82	22.51	22.31	11.7
ENSG00000011405	29.12	18.4	22.47	30.19	28.01	30.6	40.97	27.75	38.94
ENSG00000011422	5.06	26.97	28.69	7.26	26.16	27.62	15.29	9.09	22
ENSG00000011426	28.82	40.53	33.28	19.61	51.78	46.74	48.81	43.47	57.79
ENSG00000011451	45.94	35.86	32.51	26.59	45.52	42.55	38.5	45.33	26.09
ENSG00000011454	74.08	44.06	43.97	57.24	50.49	49.29	71.29	54.99	61.47
ENSG00000011465	6.72	98.17	29.68	138.75	9.14	1.37	74.75	5.09	1.61
ENSG00000011478	7.03	10.88	9.68	6.81	8.61	6.6	8.12	4.01	6.04
ENSG00000011485	97.27	117.48	94.82	86.52	132.37	109.04	126.39	72.95	111.01
ENSG00000011523	32.82	17.63	17.19	27.15	26.37	33.83	32.58	32.52	35.91
ENSG00000011566	46.91	35.43	26.53	40.12	25.82	34.31	35.76	24.66	41.39
ENSG00000011590	0.26	1.33	0	0.82	0.73	0.18	1.39	0.06	0.64
ENSG00000011600	0	0	0	0	0	0	0	0	0
ENSG00000011638	7.44	6.74	6.64	6.9	19.39	15.37	12.89	33.72	14.3
ENSG00000011677	6.89	1.28	0.95	18.65	0.53	0.2	0.32	1.52	0.38
ENSG00000012048	13.54	13.74	17.56	17.05	25.92	29.56	31.79	24.46	29.68
ENSG00000012061	71.59	72.33	85.34	61.64	71.82	80.25	71.19	65.39	59.09
ENSG00000012124	1.57	0.58	0.12	7.32	0	0	0.11	0	0
ENSG00000012171	9.72	20.17	9.45	6.5	13.6	16.65	14.09	2.14	12.68
ENSG00000012174	18.25	14.31	13.09	17.38	9.22	10.17	16.56	18.55	9.91
ENSG00000012211	0.88	1.3	3.04	0.83	1.26	1.06	1.87	0.85	1.01
ENSG00000012223	0	0	0	0	0	0	0	0	0
ENSG00000012232	60.56	31.47	55.7	56	75.64	57.1	82.13	122.19	46.42
ENSG00000012504	0.28	0.26	0	0.13	0	0.31	0.1	0	0.06
ENSG00000012660	87.95	75.79	81.05	80.48	101.09	82.25	143.05	149.57	96.78
ENSG00000012779	0.09	2.15	4.5	0.79	5.98	0.73	1.78	0.82	0.94
ENSG00000012817	0	0	0	0	0	0	0	0	0
ENSG00000012822	115.4	95.76	86.31	104.74	84.24	79.9	118.04	50.06	77.17
ENSG00000012963	39.74	32.08	35.52	37.69	44.45	53.87	56.18	79.27	58.68
